ID,Sensor1,Sensor2,Sensor3,Sensor4,Compound
235,4564010,13482800,17298800,220608,Acetone
236,4551760,13519300,17269200,220584,Acetone
237,4545810,13526900,17298400,220871,Acetone
238,4547310,13579700,17281100,220570,Acetone
239,4542180,13628200,17233400,220332,Acetone
240,4378490,13594400,17270500,220403,Acetone
241,4395280,13444200,17243600,220261,Acetone
242,4384120,13315800,17253400,220409,Acetone
243,4382620,13376000,17302400,220414,Acetone
244,4395040,13336000,17229400,220337,Acetone
245,4390880,13500100,17226500,220123,Acetone
246,4376650,13655300,17255500,220105,Acetone
247,4416080,13481400,17258800,219806,Acetone
248,4409690,13507400,17231700,219757,Acetone
249,4431350,13742500,17108200,219935,Acetone
250,4392400,13606600,17150800,219873,Acetone
251,4389840,13572800,17147700,219903,Acetone
252,4394190,13569400,17118200,219895,Acetone
253,4399690,13691300,17149500,220068,Acetone
254,4404370,13714800,17155600,219662,Acetone
255,4388030,13762700,17141000,219511,Acetone
256,4402910,13877400,17132400,219384,Acetone
257,4418460,13743500,17116000,219416,Acetone
258,4396410,13905600,17088700,219236,Acetone
259,4402650,13916100,17115300,219420,Acetone
260,4396810,13762400,17088400,219463,Acetone
261,4396460,13762900,17075500,219663,Acetone
262,4408830,13802000,17060200,219664,Acetone
263,4399920,13975400,17098300,219254,Acetone
264,4392940,13769300,17096700,219142,Acetone
265,4386120,13902900,17141600,218956,Acetone
266,4372900,14002300,17159900,218976,Acetone
267,4388130,14029400,17100400,218994,Acetone
268,4367380,14013100,17068100,218993,Acetone
269,4389600,13850500,17086500,218791,Acetone
270,4373720,13854800,17126800,218599,Acetone
271,4371680,13886600,17154500,218570,Acetone
272,4361210,13939800,17142800,218463,Acetone
273,4364430,13673200,17153200,218335,Acetone
274,4380100,13651000,17157400,218279,Acetone
275,4371660,13918100,17146200,218208,Acetone
276,4385200,13676700,17178000,218140,Acetone
277,4364380,13873600,17195800,218183,Acetone
278,4365970,13851100,17155300,218228,Acetone
279,4371550,13857500,17150200,218235,Acetone
280,4354290,13961400,17157600,218032,Acetone
281,4341850,13965700,17143300,218030,Acetone
282,4356740,13764600,17146200,217878,Acetone
283,4372430,13916800,17133100,217873,Acetone
284,4367160,13945800,17132500,217781,Acetone
285,4356330,14071100,17100500,217602,Acetone
286,4357850,13983200,17132200,217415,Acetone
287,4356950,13944900,17126400,217240,Acetone
288,4345700,13990900,17119200,217537,Acetone
289,4374860,13906000,17108200,217501,Acetone
290,4372940,14000100,17091400,217337,Acetone
291,4369500,13885100,17107200,217128,Acetone
292,4363260,13888600,17115500,217029,Acetone
293,4372830,13749700,17115200,217153,Acetone
294,4354550,13938400,17129900,217415,Acetone
295,4358540,13840900,17162400,217266,Acetone
296,4357510,13796500,17159400,217240,Acetone
297,4372760,13825900,17168500,217094,Acetone
298,4374070,13752100,17137300,216960,Acetone
299,4376590,13776700,17214100,217239,Acetone
300,4351580,13798900,17243500,217378,Acetone
301,4350910,13733300,17238000,216952,Acetone
302,4360840,13765900,17234800,216798,Acetone
303,4351300,13885800,17217400,216692,Acetone
304,4355350,13909300,17206400,216727,Acetone
305,4333460,13861100,17236900,216731,Acetone
306,4348150,13901800,17249200,216760,Acetone
307,4352690,14077600,17234700,216894,Acetone
308,4354150,13968400,17206900,216926,Acetone
309,4346820,13862200,17197600,217054,Acetone
310,4364240,13842500,17262100,216774,Acetone
311,4361030,13872900,17269400,216661,Acetone
312,4357550,13887800,17236500,216849,Acetone
313,4370870,13760000,17281900,217038,Acetone
314,4353350,13927000,17287900,217002,Acetone
315,4344130,14001600,17311200,217102,Acetone
316,4366900,14049700,17344600,216917,Acetone
317,4370160,13936800,17356800,216522,Acetone
318,4373990,13956000,17311700,216415,Acetone
319,4369450,13785000,17314900,216515,Acetone
320,4367760,14078000,17309000,216339,Acetone
321,4354100,14167000,17271800,216483,Acetone
322,4353210,14019100,17286800,216309,Acetone
323,4352780,14059800,17318500,216158,Acetone
